ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FH2O,FNOX,FOPTIMETHGLY,FOXID,FSO4,FTBN,FE,FUEL,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,SOOTPERCENTAGE,TI,V,V100,V40,ZN,Y_LABEL
6748.0,2015.0,6.0,200.0,0.0,1.0,1.0,0.0,0.0,62.0,0.0,0.0,0.0,2.0,9.0,5.0,0.0,9.0,18.0,8.9,12.0,0.0,0.0,4.0,0.0,13.0,0.0,3.0,6.0,0.0,1047.0,5.0,5.0,4191.0,0.0,3.0,2.0,0.2,0.0,0.0,13.4,98.9,1020.0,0.0
1959.0,2008.0,5.0,200.0,0.0,1.0,6.0,2.0,0.0,8.0,0.0,0.0,3.0,38.0,12.0,8.0,0.0,14.0,20.0,9.8,41.0,0.0,0.0,18.0,0.0,23.0,1.0,56.0,7.0,0.0,960.0,2.0,25.0,5144.0,2.0,12.0,4.0,0.9,0.0,0.0,13.1,97.6,1171.0,0.0
2080.0,2010.0,5.0,200.0,0.0,0.0,30.0,0.0,0.0,32.0,0.0,0.0,0.0,2.0,14.0,8.0,0.0,17.0,20.0,10.3,6.0,0.0,0.0,2.0,0.0,9.0,0.0,197.0,0.0,0.0,891.0,2.0,10.0,4047.0,0.0,6.0,2.0,0.1,0.0,0.0,13.8,111.5,1003.0,0.0
1991.0,2008.0,7.0,200.0,0.0,26.0,32.0,3.0,0.0,60.0,0.0,0.0,2.0,2.0,14.0,7.0,1.0,15.0,20.0,9.8,12.0,0.0,0.0,6.0,0.0,14.0,1.0,214.0,1.0,0.0,1047.0,2.0,17.0,4342.0,1.0,9.0,2.0,0.2,0.0,0.0,13.5,109.2,1250.0,1.0
2043.0,2011.0,8.0,1243.0,0.0,0.0,6.0,0.0,0.0,79.0,0.0,0.0,1.0,40.0,15.0,7.0,0.0,12.0,17.0,8.2,21.0,0.0,0.0,6.0,0.0,9.0,1.0,24.0,4.0,0.0,878.0,3.0,13.0,4034.0,2.0,8.0,3.0,0.2,0.0,0.0,11.9,83.2,1063.0,0.0
4488.0,2014.0,4.0,200.0,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,2.0,0.0,13.0,7.0,1.0,12.0,18.0,9.0,13.0,0.0,0.0,1.0,0.0,307.0,0.0,0.0,2.0,0.0,1332.0,1.0,8.0,7607.0,0.0,5.0,0.0,0.4,0.0,0.0,13.8,99.3,1507.0,0.0
3804.0,2014.0,15.0,200.0,0.0,2.0,202.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,14.0,8.0,1.0,17.0,21.0,8.8,16.0,0.0,0.0,9.0,0.0,13.0,0.0,231.0,1.0,0.0,1111.0,0.0,15.0,5091.0,0.0,6.0,2.0,0.4,0.0,0.0,13.6,104.5,1312.0,0.0
2023.0,2011.0,8.0,200.0,0.0,1.0,197.0,0.0,0.0,13.0,0.0,0.0,0.0,6.0,13.0,6.0,1.0,11.0,18.0,7.6,21.0,0.0,0.0,2.0,0.0,9.0,0.0,223.0,3.0,0.0,1115.0,0.0,7.0,4594.0,0.0,6.0,1.0,0.2,0.0,0.0,12.5,95.2,1247.0,0.0
2918.0,2016.0,4.0,200.0,1.0,2.0,0.0,0.0,0.0,3382.0,1.0,0.0,0.0,2.0,13.0,7.0,0.0,10.0,19.0,7.6,37.0,0.0,0.0,3.0,0.0,16.0,0.0,1.0,3.0,0.0,934.0,0.0,12.0,4530.0,0.0,9.0,0.0,1.1,0.0,0.0,14.5,110.2,1161.0,0.0
1339.0,2013.0,8.0,539.0,0.0,1.0,7.0,2.0,0.0,3192.0,0.0,0.0,0.0,5.0,17.0,7.0,0.0,15.0,20.0,9.4,10.0,0.0,0.0,2.0,0.0,144.0,0.0,256.0,3.0,0.0,1284.0,1.0,16.0,5683.0,0.0,16.0,1.0,0.2,0.0,0.0,14.7,116.9,1464.0,0.0
