ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FE,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,TI,U100,U75,U50,U25,U20,U14,U6,U4,V,V40,ZN,Y_LABEL
1350.0,2021.0,51.0,375.0,0.0,2.0,19.0,0.0,0.0,2978.0,0.0,0.0,0.0,31.0,2.0,0.0,2.5,0.0,1.0,0.0,0.0,1.0,0.0,572.0,2.0,19.0,1117.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,216.0,1454.0,0.0,44.0,652.0,0.0
2415.0,2015.0,2.0,200.0,0.0,110.0,1.0,1.0,0.0,17.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,328.0,0.0,17.0,1334.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,11261.0,41081.0,0.0,72.6,412.0,1.0
1830.0,2015.0,13.0,550.0,0.0,1.0,19.0,2.0,0.0,3174.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,363.0,0.0,5.0,5075.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,13.0,274.0,1181.0,0.0,54.4,441.0,0.0
5694.0,2009.0,6.0,200.0,0.0,1.0,2.0,0.0,0.0,32.0,0.0,0.0,1.0,181.0,40.0,0.0,12.0,0.0,4.0,0.0,0.0,1.0,0.0,472.0,2.0,66.0,1270.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,72.0,102.0,87.0,2038.0,9014.5,0.0,44.4,522.0,0.0
1706.0,2012.0,7.0,200.0,0.0,2.0,10.0,0.0,0.0,127.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,284.0,2.0,18.0,1582.0,0.0,4.0,0.0,0.0,0.0,0.0,44.0,62.0,134.0,478.0,9765.0,24308.0,0.0,45.8,428.0,0.0
1175.0,2007.0,2.0,375.0,0.0,8.0,6.0,4.0,0.0,2647.0,0.0,0.0,1.0,134.0,7.0,0.0,4.0,0.0,448.0,0.0,0.0,2.0,0.0,934.0,2.0,14.0,7223.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,46.0,541.0,12543.0,0.0,39.5,1057.0,0.0
1364.0,2007.0,4.0,375.0,0.0,2.0,1.0,3.0,0.0,26.0,0.0,0.0,0.0,111.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,427.0,3.0,1.0,5099.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,17.0,44.0,113.0,731.0,21270.0,0.0,53.4,578.0,0.0
5885.0,2013.0,6.0,200.0,0.0,1.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,23.0,7520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,18.5,377.0,5321.5,0.0,53.6,177.0,0.0
8483.0,2018.0,2.0,7550.0,0.0,0.0,3.0,0.0,0.0,37.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,9.0,3084.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,19.0,428.0,1304.0,0.0,58.1,382.0,1.0
2806.0,2015.0,2.0,200.0,0.0,2.0,23.0,0.0,0.0,184.0,0.0,0.0,3.0,3.0,16.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,259.0,0.0,21.0,9365.0,0.0,2.0,0.0,0.0,2.0,3.0,29.0,50.0,52.0,186.0,4410.0,20490.0,0.0,68.5,321.0,0.0
3592.0,2020.0,5.0,592.0,0.0,2.0,0.0,0.0,0.0,3495.0,0.0,0.0,0.0,6.0,8.0,0.0,6.0,0.0,10.0,0.0,0.0,1.0,0.0,232.0,0.0,22.0,4898.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,9.0,179.0,18478.0,0.0,63.3,257.0,0.0
1428.0,2010.0,10.0,628.0,0.0,3.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,211.0,99.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,478.0,2.0,18.0,1388.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0,326.0,1018.0,12781.0,14579.0,0.0,44.8,672.0,0.0
1618.0,2011.0,11.0,200.0,0.0,2.0,1.0,2.0,0.0,28.0,0.0,0.0,1.0,25.0,33.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,267.0,0.0,21.0,6380.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,490.0,20344.0,0.0,68.4,318.0,0.0
3803.0,2011.0,7.0,200.0,0.0,14.0,172.0,0.0,0.0,2693.0,0.0,0.0,0.0,167.0,22.0,0.0,10.0,0.0,4.0,0.0,2.0,1.0,0.0,416.0,3.0,38.0,1885.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,153.5,2825.0,10042.5,0.0,44.6,515.0,0.0
5606.0,2011.0,11.0,200.0,0.0,4.0,3.0,0.0,0.0,38.0,0.0,0.0,1.0,81.0,15.0,0.0,6.0,0.0,5.0,0.0,1.0,1.0,0.0,416.0,1.0,39.0,4734.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,26.0,63.0,380.0,4522.5,9573.0,0.0,53.1,550.0,0.0
4353.0,2012.0,5.0,200.0,0.0,6.0,329.0,0.0,0.0,2803.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,307.0,0.0,29.0,7819.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,46.0,62.0,124.0,629.0,1816.0,0.0,61.9,408.0,0.0
4105.0,2011.0,9.0,200.0,0.0,1.0,187.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,124.0,0.0,11.0,7998.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,309.0,482.0,1271.0,16419.0,21427.0,0.0,63.2,129.0,0.0
1350.0,2014.0,2.0,550.0,0.0,1.0,8.0,0.0,0.0,56.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,366.0,0.0,5.0,3676.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,18.0,35.0,57.0,898.0,6121.0,0.0,50.9,541.0,0.0
1000.0,2017.0,6.0,200.0,0.0,0.0,6.0,0.0,0.0,46.0,0.0,0.0,1.0,11.0,23.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,320.0,0.0,18.0,2259.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1069.0,38539.0,0.0,56.9,420.0,0.0
1508.0,2013.0,6.0,200.0,0.0,8.0,167.0,0.0,0.0,3303.0,0.0,0.0,0.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,436.0,0.0,4.0,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,271.0,2020.0,9781.0,0.0,45.3,672.0,0.0
2912.0,2011.0,4.0,200.0,0.0,3.0,390.0,0.0,0.0,3261.0,0.0,0.0,0.0,49.0,12.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,408.0,1.0,11.0,1870.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,401.0,10733.0,0.0,46.6,627.0,0.0
4988.0,2018.0,5.0,200.0,0.0,2.0,3.0,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,359.0,0.0,10.0,6352.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,11.0,24.0,85.0,1876.0,24032.0,0.0,67.9,482.0,0.0
5743.0,2019.0,2.0,393.0,0.0,7.0,5.0,0.0,0.0,117.0,0.0,0.0,0.0,5.0,1.0,0.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,561.0,0.0,24.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,24.0,1946.0,17231.0,0.0,45.0,622.0,0.0
2612.0,2010.0,3.0,200.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,144.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,453.0,2.0,14.0,1159.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,517.0,15221.0,0.0,44.4,713.0,0.0
6083.0,2012.0,4.0,200.0,0.0,2.0,2.0,0.0,0.0,113.0,0.0,0.0,0.0,23.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,49.0,10050.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,56.0,204.0,17420.0,36675.0,0.0,45.7,307.0,0.0
2527.0,2007.0,9.0,502.0,0.0,5.0,0.0,0.0,0.0,2858.0,0.0,0.0,0.0,163.0,1.0,0.0,0.5,0.0,2.0,0.0,1.0,0.0,0.0,489.0,1.0,12.0,1256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,21.0,391.0,14250.0,0.0,44.6,689.0,0.0
1634.0,2014.0,7.0,200.0,0.0,0.0,147.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,269.0,0.0,11.0,6964.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,33.0,754.0,7985.0,0.0,63.5,338.0,0.0
1535.0,2011.0,13.0,200.0,0.0,2.0,1.0,0.0,0.0,3060.0,0.0,0.0,1.0,5.0,11.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,381.0,0.0,10.0,4235.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,82.0,2591.0,0.0,54.8,523.0,0.0
3676.0,2018.0,2.0,200.0,0.0,0.0,7.0,0.0,0.0,201.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,477.0,0.0,17.0,1089.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,9.0,565.0,4204.0,0.0,44.4,705.0,0.0
2192.0,2014.0,4.0,200.0,0.0,0.0,165.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,226.0,1.0,5.0,2316.0,0.0,2.0,1.0,0.0,18.0,27.0,209.0,262.0,402.0,510.0,2704.0,7701.0,0.0,70.5,282.0,0.0
1998.0,2010.0,7.0,200.0,0.0,1.0,155.0,0.0,0.0,26.0,0.0,0.0,0.0,185.0,57.0,0.0,2.0,0.0,125.0,1.0,0.0,0.0,0.0,477.0,1.0,20.0,2031.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,87.0,3696.0,20762.0,0.0,46.1,682.0,0.0
6992.0,2017.0,2.0,550.0,0.0,7.0,4.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,341.0,0.0,9.0,7636.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,33.0,624.0,3094.0,0.0,67.7,399.0,0.0
2068.0,2008.0,15.0,550.0,0.0,1.0,4.0,3.0,0.0,64.0,0.0,0.0,0.0,114.0,2.0,0.0,4.0,0.0,21.0,0.0,1.0,0.0,0.0,681.0,2.0,21.0,2727.0,2.0,5.0,1.0,0.0,2.0,2.0,4.0,5.0,11.0,17.0,432.0,18936.0,0.0,48.0,781.0,0.0
1697.0,2016.0,6.0,200.0,0.0,3.0,111.0,3.0,0.0,3057.0,0.0,0.0,2.0,6.0,27.0,0.0,4.5,0.0,4.0,0.0,0.0,6.0,0.0,291.0,0.0,11.0,2599.0,0.0,19.0,4.0,0.0,1.0,1.0,1.0,8.0,10.0,35.0,805.0,43066.0,0.0,43.0,334.0,0.0
4535.0,2016.0,8.0,200.0,0.0,0.0,170.0,0.0,0.0,128.0,0.0,0.0,4.0,7.0,18.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,271.0,0.0,73.0,7303.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,37.0,19404.0,36830.0,0.0,61.6,349.0,0.0
2794.0,2009.0,4.0,200.0,0.0,11.0,84.0,0.0,0.0,3363.0,0.0,0.0,0.0,121.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,401.0,5.0,18.0,1655.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,11.0,69.0,47.5,383.0,6370.0,0.0,41.5,600.0,0.0
2085.0,2014.0,4.0,200.0,0.0,1.0,4.0,0.0,0.0,16.0,0.0,0.0,1.0,4.0,11.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,429.0,0.0,71.0,2226.0,0.0,3.0,0.0,1.0,0.0,0.0,23.0,40.0,84.0,492.0,7090.0,14397.0,0.0,45.8,623.0,0.0
2484.0,2013.0,7.0,200.0,0.0,6.0,163.0,0.0,0.0,3249.0,0.0,0.0,0.0,93.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,486.0,1.0,3.0,1690.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,121.0,1508.0,5059.0,0.0,46.5,674.0,0.0
1456.0,2014.0,7.0,200.0,0.0,0.0,150.0,5.0,0.0,30.0,0.0,0.0,2.0,5.0,10.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,368.0,0.0,5.0,2889.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,23.0,2230.0,30994.0,0.0,49.0,520.0,0.0
4834.0,2013.0,9.0,540.0,0.0,0.0,25.0,0.0,0.0,256.0,0.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,334.0,0.0,52.0,7336.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,61.5,10472.5,23517.0,0.0,64.3,402.0,0.0
2423.0,2018.0,12.0,571.0,0.0,0.0,15.0,0.0,0.0,156.0,0.0,0.0,2.0,25.0,73.0,0.0,4.0,0.0,2.0,1.0,2.0,2.0,0.0,329.0,2.0,36.0,9461.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,11.0,3783.0,34712.0,0.0,74.6,365.0,0.0
1667.0,2015.0,7.0,200.0,0.0,1.0,10.0,0.0,0.0,44.0,0.0,0.0,2.0,57.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,319.0,0.0,13.0,5556.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,29.0,2937.0,44626.0,0.0,59.7,439.0,0.0
4304.0,2013.0,4.0,200.0,0.0,5.0,448.0,0.0,0.0,3393.0,0.0,0.0,1.0,4.0,17.0,0.0,0.5,0.0,5.0,0.0,0.0,0.0,0.0,408.0,0.0,11.0,1209.0,0.0,38.0,0.0,0.0,0.0,0.0,7.0,9.0,12.0,37.0,549.0,8250.0,0.0,61.3,551.0,0.0
6950.0,2021.0,2.0,550.0,0.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,564.0,0.0,7.0,1359.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,10.0,15.0,27.0,703.0,10427.0,0.0,44.3,705.0,0.0
2069.0,2008.0,3.0,200.0,0.0,7.0,136.0,0.0,0.0,3208.0,0.0,0.0,0.0,170.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,5.0,1004.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,136.0,21151.0,0.0,44.1,584.0,0.0
