ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FE,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,TI,V,V40,ZN,Y_LABEL
1539.0,2011.0,7.0,200.0,0.0,12.0,196.0,0.0,0.0,2971.0,0.0,0.0,0.0,367.0,24.0,0.0,9.0,0.0,8.0,0.0,4.0,35.0,0.0,1065.0,3.0,8.0,4697.0,0.0,4.0,0.0,0.0,0.0,71.6,1186.0,0.0
1718.0,2011.0,9.0,200.0,0.0,0.0,35.0,0.0,0.0,1113.0,0.0,0.0,0.0,197.0,13.0,0.0,3.0,0.0,15.0,0.0,4.0,12.0,0.0,1141.0,0.0,12.0,5495.0,0.0,3.0,0.0,0.0,0.0,73.9,1262.0,0.0
2056.0,2022.0,2.0,544.0,0.0,2.0,56.0,0.0,0.0,2977.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,193.0,0.0,29.0,7.0,0.0,1026.0,0.0,10.0,3624.0,0.0,5.0,0.0,0.0,0.0,70.4,1074.0,0.0
4501.0,2018.0,6.0,200.0,0.0,2.0,8.0,0.0,0.0,3392.0,0.0,0.0,0.0,1.0,12.0,0.0,1.5,0.0,59.0,0.0,0.0,8.0,0.0,1070.0,0.0,18.0,4461.0,0.0,3.0,0.0,0.0,0.0,69.4,1175.0,0.0
3851.0,2011.0,12.0,200.0,0.0,9.0,8.0,0.0,0.0,2727.0,0.0,0.0,0.0,108.0,15.0,0.0,6.0,0.0,353.0,0.0,136.0,3.0,0.0,897.0,0.0,24.0,4000.0,0.0,5.0,0.0,0.0,0.0,81.5,1007.0,0.0
2432.0,2013.0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,254.0,19.0,0.0,3.0,0.0,6.0,3.0,2.0,14.0,0.0,1000.0,1.0,10.0,7057.0,0.0,1.0,0.0,0.0,0.0,66.4,1020.0,0.0
1368.0,2014.0,5.0,200.0,0.0,6.0,147.0,1.0,0.0,3155.0,0.0,0.0,0.0,0.0,23.0,0.0,4.0,0.0,275.0,0.0,14.0,2.0,0.0,1342.0,0.0,14.0,7977.0,0.0,4.0,0.0,0.0,0.0,77.4,1506.0,0.0
9097.0,2015.0,4.0,200.0,0.0,0.0,212.0,0.0,0.0,2601.0,1.0,0.0,1.0,1.0,19.0,0.0,2.0,0.0,215.0,1.0,2.0,2.0,0.0,1115.0,0.0,21.0,7825.0,1.0,4.0,0.0,1.0,0.0,81.9,1071.0,0.0
2405.0,2009.0,10.0,200.0,0.0,0.0,146.0,0.0,0.0,29.0,0.0,0.0,0.0,61.0,14.0,0.0,4.0,0.0,9.0,0.0,38.0,7.0,0.0,981.0,0.0,8.0,4700.0,0.0,8.0,0.0,0.0,0.0,81.4,1142.0,1.0
12735.0,2021.0,4.0,200.0,0.0,0.0,20.0,0.0,0.0,3465.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,19.0,0.0,0.0,3.0,0.0,1039.0,0.0,18.0,3857.0,0.0,3.0,0.0,0.0,0.0,78.8,1007.0,0.0
2400.0,2009.0,4.0,200.0,0.0,2.0,2.0,0.0,0.0,107.0,0.0,0.0,0.0,577.0,19.0,0.0,10.0,0.0,12.0,1.0,181.0,7.0,0.0,1183.0,1.0,13.0,5249.0,1.0,8.0,1.0,0.0,0.0,79.4,1242.0,0.0
1647.0,2019.0,4.0,200.0,0.0,3.0,7.0,0.0,0.0,3566.0,0.0,0.0,0.0,6.0,27.0,0.0,5.0,0.0,7.0,4.0,0.0,23.0,0.0,941.0,0.0,18.0,4141.0,0.0,4.0,0.0,0.0,0.0,57.4,1066.0,0.0
1899.0,2011.0,26.0,200.0,0.0,2.0,3.0,0.0,0.0,2925.0,0.0,0.0,0.0,6.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,18.0,1556.0,0.0,3.0,0.0,0.0,0.0,37.6,21.0,0.0
4278.0,2020.0,1.0,613.0,0.0,2.0,103.0,0.0,0.0,3402.0,0.0,0.0,0.0,3.0,19.0,0.0,2.0,0.0,836.0,0.0,42.0,29.0,0.0,1248.0,0.0,12.0,2867.0,1.0,6.0,0.0,0.0,0.0,60.0,1217.0,0.0
1000.0,2016.0,1.0,200.0,0.0,3.0,440.0,0.0,0.0,2723.0,0.0,0.0,0.0,67.0,13.0,0.0,2.0,0.0,260.0,0.0,99.0,14.0,0.0,950.0,0.0,18.0,3903.0,0.0,7.0,0.0,0.0,0.0,78.3,1077.0,0.0
63454.0,2017.0,6.0,900.0,0.0,2.0,2.0,1.0,0.0,2690.0,0.0,0.0,0.0,10.0,24.0,0.0,8.0,0.0,12.0,8.0,7.0,38.0,0.0,1360.0,0.0,10.0,7425.0,0.0,7.0,0.0,0.0,0.0,64.7,1628.0,0.0
2977.0,2019.0,3.0,571.0,0.0,8.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,8.0,131.0,0.0,0.5,0.0,0.0,1.0,0.0,5.0,0.0,376.0,0.0,41.0,1457.0,0.0,3.0,0.0,0.0,0.0,37.8,52.0,0.0
5960.0,2014.0,5.0,200.0,0.0,2.0,4.0,0.0,0.0,2302.0,0.0,0.0,0.0,5.0,22.0,0.0,3.0,0.0,146.0,2.0,2.0,13.0,0.0,1135.0,1.0,13.0,5382.0,0.0,4.0,0.0,0.0,0.0,69.7,1200.0,0.0
5612.0,2014.0,4.0,200.0,0.0,2.0,3.0,0.0,0.0,2182.0,0.0,0.0,0.0,2.0,18.0,0.0,1.0,0.0,71.0,0.0,164.0,6.0,0.0,1324.0,0.0,13.0,4997.0,0.0,3.0,0.0,0.0,0.0,82.3,1433.0,0.0
4490.0,2013.0,6.0,200.0,0.0,3.0,51.0,0.0,0.0,476.0,0.0,0.0,0.0,472.0,28.0,0.0,3.0,0.0,216.0,0.0,134.0,6.0,0.0,892.0,0.0,14.0,4388.0,0.0,6.0,0.0,0.0,0.0,70.0,1033.0,0.0
2088.0,2013.0,6.0,200.0,0.0,8.0,6.0,0.0,0.0,180.0,0.0,0.0,0.0,298.0,22.0,0.0,3.0,0.0,10.0,2.0,168.0,12.0,0.0,1191.0,0.0,7.0,5287.0,0.0,4.0,0.0,0.0,0.0,82.2,1388.0,0.0
1156.0,2010.0,13.0,356.0,0.0,4.0,4.0,6.0,0.0,2795.0,0.0,0.0,0.0,402.0,18.0,0.0,4.0,0.0,8.0,0.0,48.0,16.0,0.0,1019.0,0.0,9.0,7238.0,0.0,4.0,0.0,0.0,0.0,72.6,1104.0,0.0
2341.0,2008.0,5.0,1600.0,0.0,3.0,15.0,2.0,0.0,135.0,0.0,0.0,0.0,66.0,16.0,0.0,5.0,0.0,10.0,1.0,18.0,21.0,0.0,1025.0,3.0,11.0,5572.0,0.0,6.0,1.0,0.0,0.0,63.6,1142.0,0.0
2012.0,2010.0,9.0,200.0,0.0,1.0,9.0,0.0,0.0,2356.0,0.0,0.0,0.0,426.0,32.0,0.0,3.0,0.0,341.0,0.0,130.0,0.0,0.0,794.0,0.0,12.0,4249.0,0.0,5.0,0.0,0.0,0.0,74.6,884.0,0.0
1401.0,2010.0,2.0,456.0,0.0,13.0,142.0,0.0,0.0,3058.0,0.0,0.0,0.0,526.0,24.0,0.0,2.0,0.0,178.0,0.0,77.0,11.0,0.0,1134.0,1.0,13.0,7144.0,0.0,4.0,0.0,0.0,0.0,78.7,953.0,0.0
1316.0,2011.0,5.0,516.0,0.0,1.0,19.0,0.0,0.0,129.0,0.0,0.0,0.0,478.0,22.0,0.0,3.0,0.0,278.0,2.0,100.0,14.0,0.0,1057.0,0.0,13.0,4462.0,0.0,4.0,0.0,0.0,0.0,72.9,1077.0,0.0
2089.0,2008.0,7.0,200.0,0.0,2.0,1.0,0.0,0.0,101.0,0.0,0.0,0.0,260.0,10.0,0.0,1.0,0.0,23.0,0.0,1.0,11.0,0.0,993.0,1.0,18.0,6188.0,1.0,4.0,0.0,0.0,0.0,68.3,1027.0,0.0
4610.0,2019.0,8.0,1710.0,0.0,0.0,150.0,0.0,0.0,100.0,0.0,0.0,0.0,85.0,19.0,0.0,3.0,0.0,36.0,8.0,6.0,24.0,0.0,715.0,62.0,37.0,3102.0,0.0,4.0,2.0,0.0,0.0,55.4,816.0,0.0
1177.0,2008.0,2.0,377.0,0.0,6.0,3.0,3.0,0.0,2600.0,0.0,0.0,0.0,576.0,14.0,0.0,2.0,0.0,246.0,0.0,121.0,10.0,0.0,1004.0,0.0,5.0,4382.0,0.0,5.0,0.0,0.0,0.0,81.0,1064.0,0.0
2758.0,2014.0,19.0,200.0,0.0,0.0,394.0,0.0,0.0,2835.0,0.0,0.0,0.0,7.0,25.0,0.0,2.0,0.0,15.0,1.0,16.0,25.0,0.0,892.0,2.0,18.0,5579.0,0.0,7.0,0.0,0.0,0.0,44.3,1032.0,0.0
2271.0,2009.0,8.0,200.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,0.0,855.0,0.0,14.0,3547.0,0.0,3.0,0.0,0.0,0.0,59.4,940.0,0.0
6780.0,2017.0,6.0,5800.0,0.0,5.0,2.0,0.0,0.0,3271.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,14.0,0.0,296.0,5.0,0.0,1325.0,0.0,20.0,5251.0,0.0,5.0,0.0,0.0,0.0,83.4,1505.0,0.0
2088.0,2022.0,2.0,492.0,0.0,1.0,4.0,0.0,0.0,3117.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,193.0,0.0,10.0,7.0,0.0,1041.0,0.0,8.0,4259.0,0.0,3.0,0.0,0.0,0.0,67.9,1077.0,0.0
4476.0,2019.0,4.0,994.0,0.0,0.0,2.0,0.0,0.0,74.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,8.0,0.0,3.0,6.0,0.0,940.0,0.0,8.0,4271.0,0.0,3.0,0.0,0.0,0.0,70.0,966.0,0.0
1702.0,2013.0,8.0,200.0,0.0,1.0,12.0,1.0,0.0,381.0,0.0,0.0,0.0,167.0,14.0,0.0,4.0,0.0,9.0,0.0,133.0,12.0,0.0,1164.0,0.0,11.0,5030.0,0.0,4.0,0.0,0.0,0.0,81.7,1197.0,0.0
4147.0,2008.0,5.0,200.0,0.0,1.0,13.0,0.0,0.0,30.0,0.0,0.0,1.0,295.0,22.0,0.0,5.0,0.0,30.0,1.0,52.0,4.0,0.0,1220.0,2.0,18.0,6342.0,1.0,7.0,1.0,0.0,0.0,72.2,1236.0,1.0
3090.0,2021.0,1.0,1129.0,0.0,1.0,4.0,0.0,0.0,92.0,1.0,0.0,0.0,9.0,93.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,294.0,2.0,42.0,1039.0,4.0,2.0,1.0,0.0,0.0,38.3,11.0,0.0
2400.0,2021.0,5.0,1600.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,3.0,17.0,0.0,2.0,0.0,351.0,0.0,17.0,13.0,0.0,935.0,0.0,12.0,3756.0,0.0,4.0,0.0,0.0,0.0,62.5,1096.0,0.0
4910.0,2011.0,5.0,200.0,0.0,2.0,0.0,0.0,0.0,2624.0,0.0,0.0,0.0,540.0,29.0,0.0,3.0,0.0,342.0,0.0,135.0,10.0,1.0,1070.0,0.0,20.0,4185.0,0.0,5.0,0.0,0.0,0.0,75.4,1142.0,0.0
1242.0,2008.0,2.0,442.0,0.0,7.0,17.0,6.0,0.0,2726.0,0.0,0.0,0.0,341.0,15.0,0.0,6.0,0.0,5.0,0.0,1.0,26.0,0.0,1080.0,2.0,12.0,4417.0,0.0,4.0,0.0,0.0,0.0,66.2,1226.0,0.0
2052.0,2012.0,6.0,1252.0,0.0,5.0,17.0,0.0,0.0,132.0,0.0,0.0,0.0,103.0,20.0,0.0,6.0,0.0,367.0,0.0,135.0,5.0,0.0,1086.0,1.0,31.0,6307.0,0.0,6.0,0.0,0.0,0.0,78.5,1173.0,0.0
2377.0,2017.0,6.0,200.0,0.0,0.0,2.0,0.0,0.0,63.0,0.0,0.0,0.0,5.0,33.0,0.0,4.0,0.0,7.0,1.0,17.0,26.0,0.0,1050.0,0.0,32.0,4061.0,0.0,7.0,0.0,0.0,0.0,55.1,1217.0,0.0
1353.0,2011.0,4.0,553.0,0.0,5.0,6.0,0.0,0.0,2664.0,0.0,0.0,0.0,1.0,43.0,0.0,2.0,0.0,70.0,0.0,32.0,0.0,0.0,1105.0,0.0,39.0,7533.0,0.0,9.0,0.0,0.0,0.0,73.6,1141.0,0.0
6273.0,2014.0,9.0,200.0,0.0,2.0,5.0,0.0,0.0,2329.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,135.0,0.0,22.0,2.0,0.0,1162.0,0.0,8.0,8424.0,0.0,6.0,0.0,0.0,0.0,80.8,1167.0,1.0
1704.0,2012.0,11.0,904.0,0.0,5.0,19.0,0.0,0.0,146.0,0.0,0.0,0.0,101.0,15.0,0.0,1.0,0.0,10.0,3.0,140.0,17.0,0.0,1252.0,0.0,16.0,5241.0,0.0,3.0,0.0,0.0,0.0,78.6,1368.0,0.0
6967.0,2015.0,21.0,392.0,0.0,3.0,9.0,0.0,0.0,2400.0,0.0,0.0,0.0,9.0,16.0,0.0,2.0,0.0,9.0,6.0,3.0,22.0,0.0,916.0,1.0,17.0,4773.0,0.0,3.0,1.0,0.0,0.0,74.6,1079.0,0.0
6624.0,2008.0,4.0,200.0,1.0,6.0,10.0,1.0,0.0,220.0,0.0,0.0,0.0,51.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,879.0,0.0,6.0,6382.0,0.0,3.0,0.0,0.0,0.0,143.8,973.0,0.0
2075.0,2013.0,3.0,200.0,0.0,3.0,151.0,0.0,0.0,2275.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,15.0,0.0,97.0,0.0,0.0,1079.0,0.0,13.0,4774.0,0.0,2.0,0.0,0.0,0.0,81.9,1170.0,0.0
5745.0,2008.0,5.0,200.0,0.0,13.0,5.0,1.0,0.0,63.0,0.0,0.0,0.0,63.0,11.0,0.0,0.5,0.0,13.0,0.0,210.0,6.0,1.0,1211.0,1.0,23.0,4971.0,2.0,8.0,0.0,0.0,0.0,86.8,1281.0,1.0
2502.0,2014.0,3.0,200.0,0.0,5.0,180.0,0.0,0.0,3504.0,0.0,0.0,1.0,53.0,7.0,0.0,1.5,0.0,11.0,2.0,48.0,5.0,0.0,1067.0,48.0,8.0,6728.0,0.0,6.0,0.0,0.0,0.0,67.0,1024.0,0.0
1441.0,2021.0,1.0,200.0,0.0,2.0,184.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,7.0,0.0,3.5,0.0,9.0,0.0,0.0,2.0,0.0,944.0,4.0,13.0,4348.0,3.0,2.0,0.0,0.0,0.0,71.4,773.0,0.0
2442.0,2009.0,8.0,200.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,112.0,15.0,0.0,5.0,0.0,11.0,0.0,3.0,15.0,0.0,1127.0,0.0,19.0,6291.0,0.0,7.0,0.0,0.0,0.0,73.5,1264.0,0.0
1176.0,2014.0,7.0,376.0,0.0,13.0,10.0,6.0,0.0,2666.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,11.0,2.0,0.0,1087.0,0.0,6.0,4279.0,0.0,3.0,0.0,0.0,0.0,72.2,1211.0,0.0
5799.0,2020.0,4.0,200.0,0.0,5.0,3.0,0.0,0.0,3585.0,0.0,0.0,0.0,19.0,62.0,0.0,4.0,0.0,18.0,1.0,85.0,3.0,0.0,1200.0,0.0,142.0,6045.0,0.0,14.0,1.0,0.0,0.0,76.1,1175.0,0.0
4621.0,2021.0,2.0,827.0,0.0,0.0,3.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,22.0,0.0,2.0,4.0,0.0,936.0,1.0,8.0,4006.0,0.0,3.0,0.0,0.0,0.0,73.8,1035.0,0.0
