,ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FE,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,TI,V,V40,ZN,Y_LABEL
0,1486.0,2011.0,7.0,200.0,0.0,3.0,93.0,0.0,0.0,3059.0,0.0,0.0,13.0,78.0,888.0,0.0,27.0,1.0,14.0,16.0,1.0,16.0,6.0,1951.0,0.0,8504.0,21370.0,0.0,427.0,2.0,5.0,0.0,154.0,75.0,0.0
1,7389.0,2010.0,2.0,200.0,0.0,8.0,3.0,0.0,0.0,1960.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,906.0,1.0,44.0,21774.0,2.0,1.0,1.0,0.0,0.0,133.3,7.0,0.0
2,3954.0,2015.0,4.0,200.0,0.0,1.0,157.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,309.0,0.0,217.0,18470.0,0.0,2.0,0.0,0.0,0.0,133.1,128.0,0.0
3,2061.0,2008.0,4.0,550.0,0.0,3.0,8.0,0.0,0.0,2770.0,0.0,0.0,3.0,179.0,550.0,0.0,0.5,0.0,12.0,42.0,11.0,4.0,4.0,1129.0,2.0,329.0,8685.0,2.0,32.0,5.0,0.0,0.0,69.7,1015.0,0.0
4,1416.0,2015.0,7.0,616.0,0.0,0.0,21.0,0.0,0.0,130.0,0.0,0.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,330.0,0.0,26.0,16280.0,0.0,1.0,0.0,0.0,0.0,148.5,24.0,0.0
5,1170.0,2009.0,4.0,370.0,0.0,5.0,3.0,3.0,0.0,2589.0,0.0,0.0,3.0,6.0,81.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,0.0,866.0,2.0,7735.0,17090.0,1.0,6.0,0.0,0.0,0.0,142.9,16.0,0.0
6,4880.0,2014.0,7.0,200.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,4.0,125.0,166.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,4.0,451.0,0.0,83.0,15960.0,0.0,2.0,0.0,0.0,0.0,140.7,89.0,0.0
7,1172.0,2018.0,5.0,375.0,0.0,3.0,2.0,1.0,0.0,2325.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,295.0,0.0,139.0,13240.0,0.0,0.0,0.0,0.0,0.0,173.8,4.0,0.0
8,3076.0,2013.0,22.0,200.0,0.0,0.0,2.0,0.0,0.0,56.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1001.0,0.0,23.0,20570.0,0.0,3.0,0.0,0.0,0.0,133.0,28.0,0.0
9,3475.0,2016.0,3.0,200.0,0.0,7.0,86.0,0.0,0.0,3330.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,905.0,0.0,23.0,8893.0,0.0,61.0,0.0,0.0,0.0,114.0,1087.0,0.0
10,4969.0,2008.0,5.0,200.0,0.0,2.0,2.0,0.0,0.0,48.0,0.0,0.0,0.0,6.0,115.0,0.0,1.5,0.0,0.0,1.0,0.0,3.0,0.0,354.0,0.0,56.0,21060.0,1.0,3.0,1.0,0.0,0.0,152.3,12.0,0.0
11,3793.0,2021.0,3.0,1485.0,0.0,0.0,13.0,0.0,0.0,159.0,0.0,0.0,1.0,8.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,340.0,0.0,64.0,22910.0,0.0,21.0,0.0,0.0,0.0,133.8,11.0,0.0
12,1000.0,2017.0,1.0,200.0,0.0,25.0,455.0,0.0,0.0,2670.0,0.0,0.0,1.0,4.0,70.0,0.0,1.0,1.0,2.0,1.0,0.0,11.0,0.0,2185.0,0.0,56.0,27460.0,0.0,22.0,0.0,0.0,0.0,170.2,125.0,1.0
13,2896.0,2014.0,32.0,200.0,0.0,2.0,5.0,0.0,0.0,50.0,0.0,0.0,2.0,10.0,134.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,250.0,0.0,139.0,19350.0,0.0,2.0,0.0,0.0,0.0,153.5,48.0,0.0
14,6655.0,2018.0,2.0,200.0,0.0,0.0,2.0,0.0,0.0,398.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,365.0,0.0,52.0,21220.0,0.0,1.0,0.0,0.0,0.0,136.7,44.0,0.0
15,2064.0,2008.0,8.0,1264.0,0.0,3.0,17.0,1.0,6.0,120.0,0.0,1.0,1.0,6.0,23.0,0.0,1.5,1.0,6.0,1.0,4.0,0.0,0.0,2357.0,1.0,17.0,26632.0,2.0,3.0,2.0,0.0,0.0,147.6,71.0,0.0
16,1814.0,2009.0,6.0,200.0,0.0,1.0,13.0,1.0,0.0,2624.0,0.0,0.0,0.0,1.0,77.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,612.0,0.0,96.0,27470.0,0.0,5.0,0.0,0.0,0.0,156.1,33.0,0.0
17,7671.0,2017.0,4.0,571.0,0.0,2.0,392.0,0.0,0.0,2814.0,0.0,0.0,0.0,0.0,161.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,193.0,0.0,950.0,17800.0,0.0,5.0,0.0,0.0,0.0,145.9,17.0,0.0
18,7636.0,2019.0,7.0,479.0,0.0,4.0,6.0,0.0,0.0,71.0,0.0,0.0,0.0,3.0,72.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,1920.0,0.0,63.0,23810.0,0.0,5.0,0.0,0.0,0.0,160.5,202.0,0.0
19,2018.0,2008.0,5.0,200.0,0.0,8.0,118.0,0.0,0.0,3023.0,0.0,0.0,1.0,2.0,160.0,0.0,4.0,0.0,8.0,22.0,150.0,2.0,1.0,1793.0,1.0,759.0,17647.0,18.0,12.0,1.0,0.0,0.0,107.5,783.0,0.0
20,8242.0,2013.0,27.0,200.0,0.0,2.0,21.0,0.0,0.0,203.0,0.0,0.0,14.0,5.0,1207.0,0.0,11.0,0.0,6.0,12.0,1.0,3.0,3.0,511.0,0.0,1864.0,23610.0,0.0,358.0,0.0,6.0,0.0,148.6,22.0,0.0
21,3448.0,2009.0,10.0,200.0,0.0,2.0,1.0,0.0,0.0,94.0,0.0,1.0,2.0,5.0,116.0,0.0,2.0,0.0,4.0,1.0,3.0,1.0,1.0,786.0,2.0,51.0,31449.0,2.0,3.0,1.0,0.0,0.0,156.1,19.0,0.0
22,3601.0,2012.0,4.0,200.0,0.0,2.0,13.0,0.0,0.0,2889.0,0.0,0.0,2.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,278.0,0.0,168.0,16250.0,0.0,10.0,0.0,0.0,0.0,153.6,117.0,0.0
